Data;EMPRESTIMO;SALARY;VACATION;ADVANCE_SALARY;RESCISSION;DEPOSIT;BASIC_FOOD_BASKET;BONUS;COMMISSION;DAILY;FOOD_VOUCHER;FUEL_ASSISTANCE;MEAL_VOURCHER;PIS_PAYMENT;PROFIT_SHARING_PAYMENT;PRO_LABORE_PAYMENT;REWARD;SALARY_DIFFERENCE;THIRTEENTH_SALARY;THIRTEENTH_SALARY_FIRST_INSTALLMENT;THIRTEENTH_SALARY_SECOND_INSTALLMENT;TIP;TRANSPORTATION_VOUCHER;TOTAL_DIA
03/06/2024;457790,94;15122654,86;867844,03;700;362905,55;385017,77;67765,84;0;0;39953,32;18412,7;16224,9;94355,97;0;0;147081,1;25261,18;0;0;0;0;0;214516,59;17362693,81
04/06/2024;654388,45;325843,43;2460,5;0;0;21714,6;1080;0;5831,97;0;0;0;250,4;0;0;0;0;0;0;0;0;0;5985,95;363166,85
05/06/2024;1310826,68;206466,87;2528,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2485;211480,13
06/06/2024;3005771,1;8038893,71;114624,09;0;281868,05;101519,18;0;0;34764,8;20559,51;15274,4;1273,5;10287,85;0;0;69937,85;13632,21;0;0;0;0;0;31125,8;8733760,95
07/06/2024;2139074,33;9496845,83;177850,73;4050,7;580822,35;161076,99;0;0;1822;19811,64;25971,08;0;627,48;0;0;205341,59;998,89;0;0;0;0;0;47367,88;10722587,16
08/06/2024;771243,71;19620380,49;342170,39;68300;231888,27;430057,14;420;0;15563,66;23646,08;30605,84;2904;665;0;0;0;133366,77;0;0;0;0;1;3583,18;20903551,82
09/06/2024;414497,79;17149774,3;360465,71;29947,12;336382,19;190784,55;66606,67;0;25305,06;20577,87;99984,41;5481,8;434;0;0;149188,8;48932,44;0;0;2519,2;0;0;5134,98;18491519,1
10/06/2024;890843,51;8376868,89;188519,29;540;917841,59;206808,58;5413,33;0;0;99970,06;27451,45;5336,89;0;0;0;0;29035,14;0;0;0;0;0;20748,65;9878533,87
11/06/2024;567262,15;0;0;500;0;0;0;0;5417,69;0;0;9615,07;0;0;0;0;0;0;0;0;0;0;0;15532,76
12/06/2024;440850,46;0;2143,54;0;0;20789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22932,54
